As Of Date,Currency,Universe Name,Classification,,,,,,
CYH 5 ¼ 05/15/30,CHS/COMMUNITY,-21.86831077,90.34231324,7.746271179,7.746271179,3.782015894,409.9682037,Corporate,0.189492617
CYH 6 01/15/29,CHS/COMMUNITY,-9.448659127,96.88717515,7.056608132,7.056608132,2.249088258,326.5389174,Corporate,0.106176993
CYH 6 ⅛ 04/01/30,CHS/COMMUNITY,-17.86068323,72.91592405,14.4357182,14.4357182,3.544022381,1081.904764,Corporate,0.158974078
CYH 6 ⅞ 04/15/29,CHS/COMMUNITY,-17.81206383,80.75190933,13.84085332,13.84085332,2.891955126,1027.982123,Corporate,0.106490575
CYH 9 ¾ 01/15/34,CHS/COMMUNITY,-25.92803052,101.6492158,9.455209625,9.31804054,4.319288807,495.4359149,Corporate,0.416390537
CZR 4 ⅝ 10/15/29,CAESARS ENT,-17.77386287,95.27635127,5.939322235,5.939322235,3.099332894,224.864764,Corporate,0.155702074
CZR 6 10/15/32,CAESARS ENT,-15.61464067,97.8852677,6.373757093,6.373757093,4.446769049,223.9881956,Corporate,0.381591228
CZR 6 ½ 02/15/32,CAESARS ENT,-22.40746517,102.4252778,6.038212995,5.70975379,3.085473634,151.9761003,Corporate,0.32742407
CZR 7 02/15/30,CAESARS ENT,-29.99816872,103.3066141,6.134699927,5.52496668,1.446297677,135.0579338,Corporate,0.171916621
DAN 4 ¼ 09/01/30,DANA INC,-3.251422258,99.19106031,4.432727155,4.432727155,3.242085775,52.26624466,Corporate,0.229892224
DAN 5 ⅜ 11/15/27,DANA INC,-2.477852903,99.96161584,5.389830627,5.389830627,0.60222303,83.0673377,Corporate,0.051321392
DAN 5 ⅝ 06/15/28,DANA INC,-4.033673647,99.91241747,5.655806107,5.655806107,0.634387106,98.55154424,Corporate,0.07741703
DAR 5 ¼ 04/15/27,DARLING INGREDIE,-4.973069877,99.91256491,5.304248103,5.304248103,0.381331128,101.4376242,Corporate,0.029928007
DAR 6 06/15/30,DARLING INGREDIE,-13.96158113,101.1090068,5.72813953,5.32703086,1.867538533,117.1487793,Corporate,0.198158794
DHC 4 ¾ 02/15/28,SENIOR HOUSING,-7.337188117,95.0715401,6.987703397,6.987703397,2.198725226,342.9048066,Corporate,0.062247316
DHC 4 ⅜ 03/01/31,DIVERSIFIED HLTH,-7.229530878,86.67401261,7.377111059,7.377111059,4.685047016,369.8821617,Corporate,0.2602828
DISH 11 ¾ 11/15/27,DISH NETWORK,-51.8456426,105.8472855,8.732193627,-3.98078063,0.186764367,-803.996772,Corporate,0.045850384
DISH 5 ¼ 12/01/26,DISH DBS CORP,-39.92260338,98.0964514,6.887460691,6.887460691,1.11696211,316.8650076,Corporate,0.018960243
DISH 5 ¾ 12/01/28,DISH DBS CORP,-36.19453738,95.27484049,7.419739049,7.419739049,2.661897165,381.6968998,Corporate,0.098886805
DISH 5 ⅛ 06/01/29,DISH DBS CORP,-21.80406371,88.11931793,8.940646118,8.940646118,3.217738886,538.9423632,Corporate,0.126317874
DISH 7 ⅜ 07/01/28,DISH DBS CORP,-14.06489735,93.63002936,10.02462434,10.02462434,2.277784434,643.0735906,Corporate,0.073979377
DKL 7 ⅛ 06/01/28,DELEK LOG PT/FIN,-6.279716205,100.6424661,6.856440287,6.18595183,0.957966769,207.6329413,Corporate,0.072715317
DKL 7 ⅜ 06/30/33,DELEK LOG PT/FIN,-10.18229112,100.2901141,7.322862644,7.298413,4.539712972,301.4192964,Corporate,0.422110661
DKL 8 ⅝ 03/15/29,DELEK LOG PT/FIN,-14.73688689,104.364857,7.196381792,6.70844353,1.364487143,256.8736372,Corporate,0.107352081
DTV 10 02/15/31,DIRECTV FIN/DTV,-29.21244451,98.13458083,10.45514716,10.45514716,3.353667899,639.7601505,Corporate,0.210526261
DTV 5 ⅞ 08/15/27,DIRECTV FIN/DTV,-51.14760695,100.0150538,5.863829495,5.85248904,1.188421768,183.8477857,Corporate,0.04171289
DTV 8 ⅞ 02/01/30,DIRECTV FINANCIN,-10.48182134,98.13921472,9.397001336,9.397001336,2.765049046,539.3744306,Corporate,0.155236727
DVA 3 ¾ 02/15/31,DAVITA INC,-22.25205673,91.8148285,5.514032142,5.514032142,4.529563007,179.2995556,Corporate,0.267653101
DVA 4 ⅝ 06/01/30,DAVITA INC,-40.50516796,96.58753855,5.45210522,5.45210522,3.455536816,167.3293445,Corporate,0.202682616
DVA 6 ¾ 07/15/33,DAVITA INC,-14.90705478,103.6011699,6.159321761,5.87826205,4.25592912,168.5573603,Corporate,0.443488554
DVA 6 ⅞ 09/01/32,DAVITA INC,-14.71257719,103.6186028,6.227049745,5.84105218,3.456218652,165.6070936,Corporate,0.370484101
ECPG 8 ½ 05/15/30,ENCORE CAPITAL,-7.501278586,106.3374491,6.888800857,6.53020314,2.387435739,247.1917029,Corporate,0.17745244
ECPG 9 ¼ 04/01/29,ENCORE CAPITAL,-6.877040241,106.1909973,7.242430096,6.06165484,0.823241871,179.1927018,Corporate,0.108697423
EDF 9 ⅛ PERP,ELEC DE FRANCE,-19.98257268,115.3493,7.493838687,6.50854996,5.534999986,265.6921065,Government-Related,0.403375177
EGBLFN 12 11/30/28,EG GLOBAL,-17.61324522,110.4819172,8.220405369,5.25212341,0.705161723,141.5191853,Corporate,0.088287983
EHC 4 ½ 02/01/28,ENCOMPASS HLTH,-10.57558732,99.59233119,4.680187142,4.680187142,0.985369936,60.77946547,Corporate,0.062128704
EHC 4 ¾ 02/01/30,ENCOMPASS HLTH,-10.87338114,99.22546512,4.947121972,4.947121972,2.665474136,98.52392954,Corporate,0.180302104
EHC 4 ⅝ 04/01/31,ENCOMPASS HLTH,-5.961085506,97.57329459,5.131717699,5.131717699,3.744912082,122.4268819,Corporate,0.268552711
EIGI 11 ¾ 10/15/28,NEWFOLD DIGITAL,-7.165283816,65.4765249,29.4652447,29.4652447,2.092250781,2588.915949,Corporate,0.061434298
EIGI 6 02/15/29,NEWFOLD DIGITAL,-8.273111533,59.62598872,23.88805873,23.88805873,2.708466192,2028.225606,Corporate,0.091331205
EIX 7 ⅞ 06/15/54,EDISON INTL,-6.216337347,99.84072339,7.446319733,7.446319733,3.003087537,386.7595664,Corporate,0.123568364
EIX 8 ⅛ 06/15/53,EDISON INTL,-7.334583506,100.8301832,7.538711695,7.538711695,2.313956267,389.9783453,Corporate,0.07291161
EMACN 7 ⅝ 12/15/54,EUSHI FINANCE,-7.239949321,104.3525241,6.656160478,6.37787238,3.482900999,273.094178,Corporate,0.156595808
EMECLI 6 ¾ 07/15/31,EMRLD BOR / EMRD,-7.325901471,103.8955527,5.949283013,5.60732877,3.076187338,156.5768587,Corporate,0.276105904
EMECLI 6 ⅝ 12/15/30,EMRLD BOR / EMRD,-41.62862334,102.8767274,5.9772368,5.48470282,2.108399929,136.4090837,Corporate,0.230606575
ENDP 8 ½ 04/15/31,ENDO FINANCE,-14.0032549,106.9202004,6.982630718,6.31606427,2.284729227,207.3869729,Corporate,0.23676107
ENFRAG 5 ⅜ 12/30/30,ENFRAGEN ENERGIA,-1.645245708,91.53787036,7.380071293,7.380071293,4.156705367,366.2766691,Corporate,0.235133764
ENFRAG 8.499 06/30/32,ENFRAGEN ENERGIA,-0.645943434,102.4945052,8.099838186,7.947506054,3.965497533,386.0814079,Corporate,0.319960542
ENOIGA 4 ⅞ 03/30/26,ENERG ISRAEL FIN,-1.790772249,98.94009221,6.84420521,6.84420521,0.525502984,300.6182107,Corporate,0.005339074
ENOIGA 5 ⅜ 03/30/28,ENERG ISRAEL FIN,-8.403342064,97.44757341,6.472871447,6.472871447,2.160311307,288.2852144,Corporate,0.066409897
ENOIGA 5 ⅞ 03/30/31,ENERG ISRAEL FIN,-8.800118028,94.65295451,7.053891097,7.053891097,4.425658124,334.7501507,Corporate,0.250318787
ENOIGA 8 ½ 09/30/33,ENERG ISRAEL FIN,-10.32901752,104.8136236,7.686086902,7.3412577,4.570968326,328.5577891,Corporate,0.416033776
ENR 4 ¾ 06/15/28,ENERGIZER HLDGS,-8.921659578,98.23940085,5.441580005,5.441580005,1.833550144,166.8286977,Corporate,0.07865648
ENR 4 ⅜ 03/31/29,ENERGIZER HLDGS,-11.95689915,96.25780003,5.548273585,5.548273585,2.688004291,187.8735441,Corporate,0.122308853
ENTG 3 ⅝ 05/01/29,ENTEGRIS INC,-5.685864984,94.97293677,5.155296395,5.155296395,3.05826354,155.2676709,Corporate,0.130904585
ENTG 4 ¾ 04/15/29,ENTEGRIS ESCROW,-22.64361653,99.14857684,5.010185275,5.010185275,3.115385258,142.5011366,Corporate,0.124848728
ENTG 4 ⅜ 04/15/28,ENTEGRIS INC,-5.283018541,97.88422034,5.255273734,5.255273734,1.885539127,156.4369404,Corporate,0.070516982
ENTG 5.95 06/15/30,ENTEGRIS ESCROW,-12.46740284,101.3741651,5.614758168,5.40418727,2.0024803,122.9648539,Corporate,0.198722865
EPC 4 ⅛ 04/01/29,EDGEWELL PERSON,-7.289436922,95.39239447,5.569390385,5.569390385,2.844580388,194.4246807,Corporate,0.123143661
EPC 5 ½ 06/01/28,EDGEWELL PERSON,-10.87685395,99.63876655,5.641071735,5.641071735,0.851062356,133.6920751,Corporate,0.075553043
EQMSRM 8 03/15/33,EQUIPMENTSHARE,-7.150524356,106.5530631,6.868659169,6.13413791,3.004379323,184.0013503,Corporate,0.385623669
EQMSRM 8 ⅝ 05/15/32,EQUIPMENTSHARE,-9.025844003,108.2259389,7.056241051,5.88272773,2.269122573,166.5348292,Corporate,0.316290724
EQMSRM 9 05/15/28,EQUIPMENTSHARE,-16.05481986,106.0713581,6.489039474,5.17313432,1.258560352,143.6121523,Corporate,0.068889594
ET 6 ½ 02/15/56,ENERGY TRANS,-2.096711549,99.73877788,6.378026315,6.378026315,4.449349498,266.191348,Corporate,0.244717757
ET 6 ¾ 02/15/56,ENERGY TRANS,-2.270352257,100.0240564,6.45989506,6.45989506,7.373008543,256.8945426,Corporate,0.695292344
ET 7 ⅛ 10/01/54,ENERGY TRANS,-6.291871055,103.4021749,6.363975814,6.11165956,3.315307905,246.002703,Corporate,0.143939846
ET 8 05/15/54,ENERGY TRANS,-11.37520278,106.6362935,7.177182927,5.836913,2.960083629,228.245261,Corporate,0.121065431
EVRI 9 ¼ 07/01/32,VOYAGER PARENT L,-26.71028191,106.1144852,8.056002264,7.6925996,3.643949482,359.688397,Corporate,0.313687786
FAIRIC 4 06/15/28,FAIR ISAAC CORP,-12.49778996,97.93408467,4.804815815,4.804815815,1.99469081,110.6654532,Corporate,0.080154507
FAIRIC 6 05/15/33,FAIR ISAAC CORP,-21.3621481,102.3711978,5.61408725,5.41731562,4.316879691,122.9365503,Corporate,0.444001387
FCFS 4 ⅝ 09/01/28,FIRSTCASH INC,-7.175702259,98.52767286,5.164732757,5.164732757,1.815050358,132.5235126,Corporate,0.091000027
FCFS 5 ⅝ 01/01/30,FIRSTCASH INC,-7.626299896,100.1233333,5.589971447,5.51873836,1.85259482,123.8011253,Corporate,0.168712322
FCFS 6 ⅞ 03/01/32,FIRSTCASH INC,-6.895272515,103.9987711,6.117326055,5.59216366,2.782533014,138.186544,Corporate,0.328312215
FIBCOP 6 09/30/34,FIBERCOP SPA,-7.188725312,95.32344519,6.696350335,6.696350335,6.660040101,270.3622369,Corporate,0.561450298
FIBCOP 6 ⅜ 11/15/33,FIBERCOP SPA,-7.208693993,98.64499541,6.590016227,6.590016227,6.143661608,266.0598657,Corporate,0.475226458
FIBCOP 7.2 07/18/36,FIBERCOP SPA,-7.287700515,100.7927446,7.092344801,7.09166538,7.410549889,298.8200235,Corporate,0.712209727
FIBCOP 7.721 06/04/38,FIBERCOP SPA,-7.271204648,101.2799736,7.560489218,7.55945169,7.951635197,334.4792433,Corporate,0.854268198
FMC 8.45 11/01/55,FMC CORP,-10.48268954,104.6512681,8.036944797,7.30313864,3.9744108,364.8252782,Corporate,0.206747968
FMGAU 4 ½ 09/15/27,FORTESCUE TREASU,-8.98851125,99.18673003,4.928764147,4.928764147,1.758307307,131.8454924,Corporate,0.045098402
FMGAU 4 ⅜ 04/01/31,FORTESCUE TREASU,-22.98395232,95.28350144,5.367018943,5.367018943,4.714249539,167.4131366,Corporate,0.269724678
FMGAU 5 ⅞ 04/15/30,FORTESCUE TREASU,-10.31686267,102.6379825,5.220674048,5.18976947,3.80638113,156.3643829,Corporate,0.186460746
FMGAU 6 ⅛ 04/15/32,FORTESCUE TREASU,-12.71744545,102.9843991,5.576897051,5.56067682,5.213374817,177.4848442,Corporate,0.341631798
FOCS 6 ¾ 09/15/31,FOCUS FINANCIAL,-14.22985602,103.3187264,6.082550698,5.81075173,3.252437386,178.2598251,Corporate,0.282852417
FOUR 6 ¾ 08/15/32,SHIFT4 PAYMENTS,-23.45017762,104.2463987,5.99124603,5.53155838,3.276107376,134.5648842,Corporate,0.368434568
FRAX 5 ¼ 09/30/28,UNIFRAX ESC ISS,-0.777910372,32.44906632,51.29073918,51.29073918,1.986010565,4767.803034,Corporate,0.053868704
FRAX 7.1 09/30/29,ASP UNIFRAX,-5.87371037,44.74847286,32.34885367,32.34885367,2.825510273,2877.47183,Corporate,0.102768031
FREMOR 12 10/01/28,FREEDOM MORTGAGE,-10.85862168,106.4875881,9.500441113,3.25738059,0.057481397,-83.07054897,Corporate,0.078276157
FREMOR 12 ¼ 10/01/30,FREEDOM MORTGAGE,-8.364272905,111.194041,9.41401102,6.77997321,1.18161622,277.733134,Corporate,0.176152362
FREMOR 6 ⅝ 01/15/27,FREEDOM MORTGAGE,-7.954480834,100.3578687,6.335088484,5.51873024,0.35082838,152.2644886,Corporate,0.022266017
FREMOR 7 ⅞ 04/01/33,FREE MTGE HOLD,-7.341529135,102.4947241,7.438519284,7.22431491,4.105415908,299.4229267,Corporate,0.398057387
FREMOR 8 ⅜ 04/01/32,FREE MTGE HOLD,-9.632718277,104.2741445,7.534472659,7.25366688,3.560595296,318.0874208,Corporate,0.299703771
FREMOR 9 ¼ 02/01/29,FREE MTGE HOLD,-16.48631702,105.3175622,7.442291305,6.78421971,0.833467557,225.0002731,Corporate,0.102930682
FREMOR 9 ⅛ 05/15/31,FREE MTGE HOLD,-10.60944726,106.2427968,7.741499777,7.15972566,2.543153529,300.4651273,Corporate,0.237129987
FRTITA 4 ⅝ 01/15/29,FERTITTA ENT LLC,-15.97754975,95.8217543,6.019448484,6.019448484,2.710190421,239.0410167,Corporate,0.110169011
FRTITA 6 ¾ 01/15/30,FERTITTA ENT LLC,-18.65422126,93.73239135,8.500434818,8.500434818,3.19197535,476.4217737,Corporate,0.160943743
FTAI 5 ½ 05/01/28,FTAI AVIATION IN,-13.70806569,99.96551248,5.511074727,5.511074727,1.072711443,121.7568699,Corporate,0.071372212
FTAI 5 ⅞ 04/15/33,FTAI AVIATION IN,-7.255576984,100.7620813,5.748708293,5.66219917,4.140118573,137.5512277,Corporate,0.434728522
FTAI 7 05/01/31,FTAI AVIATION IN,-10.26737506,104.8773873,5.966880733,5.50080971,2.594364702,139.430973,Corporate,0.25490468
FTAI 7 06/15/32,FTAI AVIATION IN,-11.674733,104.6696511,6.143461225,5.60310678,2.962906014,139.2940184,Corporate,0.346446403
FTAI 7 ⅞ 12/01/30,FTAI AVIATION IN,-7.395357754,106.327283,6.426666223,5.59780703,1.7922423,132.8869565,Corporate,0.218722319
FUN 5 ¼ 07/15/29,SIX FLAGS ENTE,-7.196539144,96.99701075,6.13568292,6.13568292,2.782921213,238.6371609,Corporate,0.138835918
FUN 5 ½ 04/15/27,SIX FLAGS ENTERT,-5.120664479,99.86024055,5.58873388,5.58873388,0.505468897,139.1981104,Corporate,0.029762895
FUN 5 ⅜ 04/15/27,SIX FLAGS ENTE,-5.727538754,99.7534234,5.534608851,5.534608851,0.67042507,145.8975961,Corporate,0.029818054
FUN 6 ⅝ 05/01/32,SIX FLAGS ENT,-13.45107745,102.0237805,6.246130702,5.99506287,3.349993437,180.1444522,Corporate,0.336787755
FUN 7 ¼ 05/15/31,SIX FLAGS ENTERT,-12.09754813,100.7518438,7.083774128,6.93191,2.798493136,267.314465,Corporate,0.251780275
FXIHLD 12 ¼ 11/15/26,FXI HOLDINGS,-6.655648338,88.35862976,24.07453057,24.07453057,0.97274721,2033.613374,Corporate,0.014296648
FXIHLD 12 ¼ 11/15/26,FXI HOLDINGS,-12.26771602,88.36640384,24.06585854,24.06585854,0.972789612,2032.74681,Corporate,0.014297838
FYBR 5 05/01/28,FRONTIER COMMUNI,-17.20866237,99.85838485,5.055344203,5.055344203,1.1277897,86.24688783,Corporate,0.072303544
FYBR 5 ⅞ 10/15/27,FRONTIER COMMUNI,-16.34306344,99.99555696,5.873851321,5.78408686,0.438810788,135.6847756,Corporate,0.04717507
FYBR 5 ⅞ 11/01/29,FRONTIER COMMUNI,-7.96847888,101.0149182,5.594807935,4.94311237,1.153888257,81.06677621,Corporate,0.155233097
FYBR 6 01/15/30,FRONTIER COMMUNI,-10.25608842,101.2226831,5.676326758,4.84321098,1.051614948,72.81766138,Corporate,0.170063492
FYBR 6 ¾ 05/01/29,FRONTIER COMMUNI,-15.71361587,101.0005879,6.43402055,5.13096607,0.793700246,111.4512962,Corporate,0.120624187
FYBR 8 ¾ 05/15/30,FRONTIER COMMUNI,-14.89316353,104.5675266,7.568127104,0.97700443,0.024244966,-324.4844661,Corporate,0.174603477
FYBR 8 ⅝ 03/15/31,FRONTIER COMMUNI,-11.7719718,106.0204435,7.279423382,4.99966901,0.704581572,86.2753099,Corporate,0.227634733
GALCLD 8 ¾ 09/01/27,GLB AIR LEASE CO,-15.5495254,103.3445243,6.907468231,6.33687154,1.379746862,265.8165648,Corporate,0.042006731
GAP 3 ⅝ 10/01/29,GAP INC/THE,-10.97322454,94.13429575,5.247857652,5.247857652,3.359329623,162.5246064,Corporate,0.158143423
GAP 3 ⅞ 10/01/31,GAP INC/THE,-10.71363168,91.01148101,5.646994184,5.646994184,4.909373633,187.4821222,Corporate,0.317696704
GBLATL 7.95 10/15/54,GLOBAL ATLANTI,-8.591742232,105.3037512,6.995896849,6.37444319,3.25709918,279.3298611,Corporate,0.143576243
GDDY 3 ½ 03/01/29,GO DADDY OP/FIN,-10.9393646,95.0736304,5.06353747,5.06353747,2.958004031,147.2577094,Corporate,0.122354869
GDDY 5 ¼ 12/01/27,GO DADDY OP/FIN,-6.931737064,100.0555547,5.219195581,4.49299157,0.077674089,42.90916997,Corporate,0.053474346
GEL 7 ¾ 02/01/28,GENESIS ENERGY,-10.87598575,100.8863574,7.333739795,5.39386494,0.407661842,137.505303,Corporate,0.058073189
GEL 7 ⅞ 05/15/32,GENESIS ENERGY,-10.06682005,103.8254748,7.141920474,6.68078124,3.038366291,246.2832105,Corporate,0.322435168
GEL 8 05/15/33,GENESIS ENERGY,-8.853071498,104.5448923,7.216044382,6.84482436,3.871615938,263.5856498,Corporate,0.40080507
GEL 8 ¼ 01/15/29,GENESIS ENERGY,-8.699399471,104.2364182,6.808370908,6.27457822,1.069558615,204.2989548,Corporate,0.10257241
GEL 8 ⅞ 04/15/30,GENESIS ENERGY,-7.26686363,105.7356939,7.377881955,6.32701309,1.035457041,180.7412638,Corporate,0.168334675
GEN 6 ¼ 04/01/33,GEN DIGITAL INC,-13.22534453,102.9669772,5.759231294,5.50362823,4.049230358,132.5141438,Corporate,0.422074841
GEN 6 ¾ 09/30/27,GEN DIGITAL INC,-14.82891646,101.623582,5.897189192,5.14583318,0.715832969,125.1683983,Corporate,0.044961569
GEN 7 ⅛ 09/30/30,NORTONLIFELOCK,-7.294646144,103.3562023,6.337451202,5.37611276,0.926887063,97.7926313,Corporate,0.208592162
GEO 10 ¼ 04/15/31,GEO GROUP INC/T,-9.114400764,110.6314355,7.862109437,6.24579947,1.875625462,222.8351761,Corporate,0.223308495
GEO 8 ⅝ 04/15/29,GEO GROUP INC/T,-9.549370737,105.8668891,6.756972129,5.68059681,0.869594101,145.9120624,Corporate,0.113049214
GFLCN 4 08/01/28,GFL ENVIRON INC,-10.87424934,97.44793478,4.9566341,4.9566341,2.183403257,129.0862436,Corporate,0.087225649
GFLCN 4 ¾ 06/15/29,GFL ENVIRON INC,-11.24410405,98.45682375,5.204507918,5.204507918,2.145265885,125.9582888,Corporate,0.136000563
GFLCN 4 ⅜ 08/15/29,GFL ENVIRON INC,-8.064742684,97.47788152,5.090172803,5.090172803,2.631560813,128.0765524,Corporate,0.149358268
GFLCN 6 ⅝ 04/01/32,WRANGLER HOLDCO,-7.304196383,104.4773909,5.793765485,5.22833645,2.683806417,100.7723071,Corporate,0.330887508
GGAMFI 5 ⅞ 03/15/30,GGAM FINANCE LTD,-5.50354224,101.5166736,5.490799989,5.32329046,2.559486314,141.647706,Corporate,0.179191345
GGAMFI 6 ⅞ 04/15/29,GGAM FINANCE LTD,-5.574734931,103.8894523,5.662380487,5.2505689,1.297812906,112.9981759,Corporate,0.118568573
GGAMFI 8 02/15/27,GGAM FINANCE LTD,-11.49761948,102.7565845,5.959252181,4.93084709,0.884718492,115.089632,Corporate,0.024393403
GGAMFI 8 06/15/28,GGAM FINANCE LTD,-8.600424268,106.2149107,5.538577616,5.05431823,2.075642983,148.3167426,Corporate,0.074899538
GLOBAU 11 ½ 08/15/29,GLOBAL AUTO/AAG,-8.123780524,99.55042768,11.63950889,11.63950889,2.711909372,779.5021265,Corporate,0.120055773
GLOBAU 8 ¾ 01/15/32,GLOBAL AUTO/AAG,-7.538611338,88.47777703,11.33944844,11.33944844,4.258061463,747.2328379,Corporate,0.269751357
GLOBAU 8 ⅜ 01/15/29,GLOBAL AUTO/AAG,-7.932775746,92.59016533,11.07571758,11.07571758,2.669551257,746.1647705,Corporate,0.097025449
GLP 7 ⅛ 07/01/33,GLOB PART/GLP FI,-6.281452612,102.5635624,6.695246563,6.4917252,4.317243709,227.2164384,Corporate,0.431587544
GLP 8 ¼ 01/15/32,GLOB PART/GLP FI,-6.628734028,105.3348442,7.185489947,6.44788576,2.387184705,213.634015,Corporate,0.297115859
GNL 3 ¾ 12/15/27,GLOBAL NET LEASE,-0.259592858,97.24471735,5.050491647,5.050491647,2.07228833,149.4222533,Corporate,0.05637478
GNL 4 ½ 09/30/28,GLOBAL NETLEASE,-0.130230531,97.87358883,5.261410995,5.261410995,2.680692548,170.6468543,Corporate,0.093593896
GPI 4 08/15/28,GROUP 1 AUTO,-10.50873565,97.27223142,5.011320932,5.011320932,2.267396348,135.5416958,Corporate,0.089355268
GPI 6 ⅜ 01/15/30,GROUP 1 AUTO,-7.206957586,103.0082003,5.583633673,5.22095388,2.000707133,122.8670028,Corporate,0.168905597
GPK 3 ½ 03/15/28,GRAPHIC PACKAGIN,-7.07064963,96.79182109,4.871128944,4.871128944,2.245248538,131.6718441,Corporate,0.067670278
GPK 3 ¾ 02/01/30,GRAPHIC PACKAGIN,-6.161640524,93.7454069,5.36645614,5.36645614,3.898757466,175.4219354,Corporate,0.183654657
GPK 6 ⅜ 07/15/32,GRAPHIC PACKAGIN,-7.429217692,101.4574596,6.109503019,5.92796505,3.603095762,170.8754163,Corporate,0.362429813
GRA 4 ⅞ 06/15/27,WR GRACE HOLDING,-6.469852781,99.24241921,5.32587346,5.32587346,1.133787727,148.5132256,Corporate,0.035915457
GRA 5 ⅝ 08/15/29,WR GRACE HOLDING,-16.78671545,93.06890265,7.70027185,7.70027185,3.152848043,406.9005155,Corporate,0.140983837
GRA 6 ⅝ 08/15/32,WR GRACE HOLDING,-10.86904012,100.2742743,6.574297892,6.55794937,4.5210041,246.9766052,Corporate,0.365935609
GSYCN 6 ⅞ 02/15/31,GOEASY LTD,-6.654780135,100.2956096,6.808048457,6.79551731,3.819123891,290.9923386,Corporate,0.241259403
GSYCN 6 ⅞ 05/15/30,GOEASY LTD,-5.624222533,101.6598586,6.455287337,6.35825473,3.036437281,250.9004675,Corporate,0.185335445
GSYCN 7 ⅜ 10/01/30,GOEASY LTD,-5.703229055,103.0375207,6.656422745,6.50953886,3.13728511,262.2028173,Corporate,0.206426152
GSYCN 7 ⅝ 07/01/29,GOEASY LTD,-9.031921427,103.4715198,6.575340007,6.25251662,1.913574637,230.3626974,Corporate,0.129271915
GSYCN 9 ¼ 12/01/28,GOEASY LTD,-8.295684825,105.3540849,7.347864521,5.56973442,0.321476777,138.1613204,Corporate,0.093279878
GT 4 ⅞ 03/15/27,GOODYEAR TIRE,-10.49831721,99.49655514,5.224605508,5.224605508,1.294054625,151.9180451,Corporate,0.027368767
GT 5 07/15/29,GOODYEAR TIRE,-12.79645198,97.0894736,5.853633369,5.853633369,3.346714591,227.1360172,Corporate,0.140037795
GT 5 ¼ 04/30/31,GOODYEAR TIRE,-7.740902763,94.8797458,6.342471653,6.342471653,4.652316591,264.3070378,Corporate,0.265918605
GT 5 ¼ 07/15/31,GOODYEAR TIRE,-8.570905348,94.87579489,6.309740159,6.309740159,4.850641542,259.274292,Corporate,0.286393704
GT 5 ⅝ 04/30/33,GOODYEAR TIRE,-6.657384745,94.18458548,6.605125107,6.605125107,5.929025493,272.3675684,Corporate,0.435700462
GT 6 ⅝ 07/15/30,GOODYEAR TIRE,-7.674919294,101.9839632,6.139137857,6.03172897,3.1515153,217.2031691,Corporate,0.199464286
GTLS 7 ½ 01/01/30,CHART INDUSTRIES,-16.19460063,104.5516252,6.274255351,4.62324285,0.454089609,41.67650133,Corporate,0.160566432
GTLS 9 ½ 01/01/31,CHART INDUSTRIES,-7.708779232,107.2162121,7.808425726,1.37703144,0.310851662,-265.1269775,Corporate,0.212655132
GTN 10 ½ 07/15/29,GRAY MEDIA,-20.26213422,108.4712247,7.897224035,6.19276755,1.039741579,216.0173153,Corporate,0.123181376
GTN 4 ¾ 10/15/30,GRAY MEDIA,-11.30748291,76.58631244,10.84765787,10.84765787,4.166447994,719.9412123,Corporate,0.211658534
GTN 5 ⅜ 11/15/31,GRAY MEDIA,-16.94993771,74.48134426,11.20336925,11.20336925,4.805515695,745.7764564,Corporate,0.285178886
GTN 7 ¼ 08/15/33,GRAY MEDIA,-11.95255814,98.22514483,7.547995552,7.547995552,4.851751912,332.4978847,Corporate,0.434706984
GTN 9 ⅝ 07/15/32,GRAY MEDIA,-13.00829364,101.2622714,9.366932433,9.29028317,4.024444915,516.3967554,Corporate,0.308884011
GWCN 4 ⅝ 02/15/27,GARDA SECURITY,-7.813831861,99.41186501,5.053811408,5.053811408,0.985993164,120.1525413,Corporate,0.025423173
GWCN 6 06/01/29,GARDA SECURITY,-7.889365569,99.117392,6.265847248,6.265847248,1.714693924,205.7881109,Corporate,0.128233086
GWCN 7 ¾ 02/15/28,GARDA SECURITY,-6.246724471,102.9456953,6.418471467,5.22742848,0.554777754,112.3923309,Corporate,0.060432681
GWCN 8 ¼ 08/01/32,GARDA SECURITY,-8.217546507,104.0925454,7.476874595,7.02621698,3.293906785,281.0578521,Corporate,0.338546381
GWCN 8 ⅜ 11/15/32,GARDA SECURITY,-14.85062155,104.200575,7.601802423,7.18904429,3.451763848,297.4605753,Corporate,0.353113654
HARMID 7 ½ 05/15/32,HARVEST MIDSTREA,-7.212166807,102.9896756,6.930541284,6.56803148,3.211185621,236.954111,Corporate,0.327404787
HARMID 7 ½ 09/01/28,HARVEST MIDSTREA,-14.30886254,101.314398,7.00175861,6.08823159,1.243532491,188.6390452,Corporate,0.085527851
HBGCN 5 ⅝ 12/01/29,HUB INTL LTD,-8.290475604,100.3200605,5.536447157,5.34376476,1.695049036,111.6356981,Corporate,0.162459443
HBGCN 7 ¼ 06/15/30,HUB INTL LTD,-48.93195152,104.5493705,6.130984367,5.44984338,1.45925276,116.2202874,Corporate,0.191291929
HBGCN 7 ⅜ 01/31/32,HUB INTL LTD,-27.71566161,105.1983562,6.369940636,5.66464439,2.406032195,137.8649684,Corporate,0.313393183
